backend,protocol,theta,l_FS,d_FS_endpoint,T_G_path,T_G_endpoint,counts_0,counts_1,shots,P0_survival,P1_excitation
ibm_fez,A,0.0,0.0,0.0,0.0,0.0,2038,10,2048,0.9951171875,0.0048828125
ibm_fez,B,0.0,0.0,0.0,0.0,0.0,2035,13,2048,0.99365234375,0.00634765625
ibm_fez,C,0.0,0.0,0.0,0.0,0.0,2029,19,2048,0.99072265625,0.00927734375
ibm_fez,D,0.0,0.0,0.0,0.0,0.0,2028,20,2048,0.990234375,0.009765625
ibm_fez,E,0.0,0.0,0.0,0.0,0.0,2033,15,2048,0.99267578125,0.00732421875
ibm_fez,F,0.0,0.0,0.0,0.0,0.0,2033,15,2048,0.99267578125,0.00732421875
ibm_fez,A,0.15707963267948966,0.078539816339745,0.078539816339745,2.5000000000000055e-12,2.5000000000000055e-12,1995,53,2048,0.97412109375,0.02587890625
ibm_fez,B,0.15707963267948966,0.07853981634037228,0.07853981633974923,2.5000000000199725e-12,2.50000000000014e-12,2016,32,2048,0.984375,0.015625
ibm_fez,C,0.15707963267948966,0.07845879042170421,0.055535751027233765,2.4974208649250554e-12,1.7677578588610117e-12,2011,37,2048,0.98193359375,0.01806640625
ibm_fez,D,0.15707963267948966,0.08469470199033031,0.07848597064524086,2.6959160950912112e-12,2.498286038311096e-12,2012,36,2048,0.982421875,0.017578125
ibm_fez,E,0.15707963267948966,0.07845807046533462,0.05553524311216216,2.4973979480020493e-12,1.7677416914221482e-12,2019,29,2048,0.98583984375,0.01416015625
ibm_fez,F,0.15707963267948966,0.12560573868552247,0.06741388546743123,3.998154838501961e-12,2.1458506210345137e-12,2013,35,2048,0.98291015625,0.01708984375
ibm_fez,A,0.3141592653589793,0.15707963267948938,0.15707963267948938,4.999999999999992e-12,4.999999999999992e-12,1984,64,2048,0.96875,0.03125
ibm_fez,B,0.3141592653589793,0.15707963267948952,0.15707963267948938,4.999999999999996e-12,4.999999999999992e-12,1976,72,2048,0.96484375,0.03515625
ibm_fez,C,0.3141592653589793,0.15643438882340613,0.1110697825191373,4.979461250160926e-12,3.5354609832124976e-12,2005,43,2048,0.97900390625,0.02099609375
ibm_fez,D,0.3141592653589793,0.1815306181511448,0.15664850055462526,5.778299040256407e-12,4.986276638240424e-12,1972,76,2048,0.962890625,0.037109375
ibm_fez,E,0.3141592653589793,0.15642857632308693,0.11106570960768372,4.979276232529422e-12,3.5353313384143755e-12,1995,53,2048,0.97412109375,0.02587890625
ibm_fez,F,0.3141592653589793,0.2563622340925112,0.13602512395190874,8.160263355580955e-12,4.32981417232681e-12,1986,62,2048,0.9697265625,0.0302734375
ibm_fez,A,0.47123889803846897,0.23561944901923468,0.23561944901923468,7.500000000000006e-12,7.500000000000006e-12,1902,146,2048,0.9287109375,0.0712890625
ibm_fez,B,0.47123889803846897,0.23561944901927062,0.23561944901923468,7.50000000000115e-12,7.500000000000006e-12,1919,129,2048,0.93701171875,0.06298828125
ibm_fez,C,0.47123889803846897,0.23345846515820334,0.1666003479598768,7.431213747315017e-12,5.303053779728831e-12,1971,77,2048,0.96240234375,0.03759765625
ibm_fez,D,0.47123889803846897,0.28998828226987583,0.2341623377633256,9.230613712395714e-12,7.453618708197453e-12,1919,129,2048,0.93701171875,0.06298828125
ibm_fez,E,0.47123889803846897,0.2334385525074964,0.16658654741185153,7.430579907957003e-12,5.302614494641711e-12,1960,88,2048,0.95703125,0.04296875
ibm_fez,F,0.47123889803846897,0.39121139711707376,0.2056926141793088,1.245264552901375e-11,6.547399260826216e-12,1947,101,2048,0.95068359375,0.04931640625
ibm_fez,A,0.6283185307179586,0.3141592653589795,0.3141592653589795,1.0000000000000006e-11,1.0000000000000006e-11,1836,212,2048,0.896484375,0.103515625
ibm_fez,B,0.6283185307179586,0.3141592653588525,0.31415926535897837,9.999999999995965e-12,9.99999999999997e-12,1852,196,2048,0.904296875,0.095703125
ibm_fez,C,0.6283185307179586,0.3090926180286838,0.22212564545751987,9.838723606496024e-12,7.07047889240842e-12,1914,134,2048,0.9345703125,0.0654296875
ibm_fez,D,0.6283185307179586,0.40919390652241683,0.3106987102920543,1.3025046581225119e-11,9.889847111051437e-12,1864,184,2048,0.91015625,0.08984375
ibm_fez,E,0.6283185307179586,0.3090444479128055,0.22209274963527428,9.837190304085755e-12,7.069431785864928e-12,1935,113,2048,0.94482421875,0.05517578125
ibm_fez,F,0.6283185307179586,0.5289524383065841,0.2762822984242889,1.6837079043400736e-11,8.79433869660315e-12,1886,162,2048,0.9208984375,0.0791015625
ibm_fez,A,0.7853981633974483,0.3926990816987242,0.3926990816987242,1.2500000000000002e-11,1.2500000000000002e-11,1722,326,2048,0.8408203125,0.1591796875
ibm_fez,B,0.7853981633974483,0.39269908169875817,0.3926990816987248,1.2500000000001083e-11,1.2500000000000021e-11,1715,333,2048,0.83740234375,0.16259765625
ibm_fez,C,0.7853981633974483,0.38294383913126173,0.2776437863887166,1.2189480984865577e-11,8.837676204502908e-12,1873,175,2048,0.91455078125,0.08544921875
ibm_fez,D,0.7853981633974483,0.5379499037188591,0.3859238292319472,1.712347726253312e-11,1.2284337015843378e-11,1736,312,2048,0.84765625,0.15234375
ibm_fez,E,0.7853981633974483,0.3828473599655487,0.27757906706789165,1.2186409957639855e-11,8.83561612453834e-12,1857,191,2048,0.90673828125,0.09326171875
ibm_fez,F,0.7853981633974483,0.6682736438938569,0.3476653987959604,2.1271810752748066e-11,1.1066533352078436e-11,1829,219,2048,0.89306640625,0.10693359375
ibm_fez,A,0.9424777960769379,0.4712388980384689,0.4712388980384689,1.5e-11,1.5e-11,1638,410,2048,0.7998046875,0.2001953125
ibm_fez,B,0.9424777960769379,0.47123889803839414,0.4712388980384684,1.499999999999762e-11,1.4999999999999984e-11,1627,421,2048,0.79443359375,0.20556640625
ibm_fez,C,0.9424777960769379,0.4546805309842364,0.33315275926004156,1.447293080675778e-11,1.0604581688187965e-11,1824,224,2048,0.890625,0.109375
ibm_fez,D,0.9424777960769379,0.6747957233068728,0.45949772663719163,2.147941498831194e-11,1.4626266906759503e-11,1641,407,2048,0.80126953125,0.19873046875
ibm_fez,E,0.9424777960769379,0.4545088639456702,0.33303990751991247,1.446746647520703e-11,1.0600989505732352e-11,1811,237,2048,0.88427734375,0.11572265625
ibm_fez,F,0.9424777960769379,0.8077918963783797,0.41971659433454994,2.5712814659639047e-11,1.3359994137207884e-11,1705,343,2048,0.83251953125,0.16748046875
ibm_fez,A,1.0995574287564276,0.5497787143782139,0.5497787143782139,1.7500000000000004e-11,1.7500000000000004e-11,1499,549,2048,0.73193359375,0.26806640625
ibm_fez,B,1.0995574287564276,0.5497787143782469,0.5497787143782141,1.7500000000001054e-11,1.750000000000001e-11,1471,577,2048,0.71826171875,0.28173828125
ibm_fez,C,1.0995574287564276,0.5240491377152483,0.38865038649460687,1.6681002138085435e-11,1.2371126029038457e-11,1763,285,2048,0.86083984375,0.13916015625
ibm_fez,D,1.0995574287564276,0.8180899805952317,0.5310735701469835,2.6040612861136777e-11,1.6904596766870572e-11,1509,539,2048,0.73681640625,0.26318359375
ibm_fez,E,1.0995574287564276,0.5237675318385216,0.38846921574421206,1.667203834462848e-11,1.2365359184944657e-11,1760,288,2048,0.859375,0.140625
ibm_fez,F,1.0995574287564276,0.9461000728000778,0.4923120416805926,3.011530064914689e-11,1.5670778995425904e-11,1574,474,2048,0.7685546875,0.2314453125
ibm_fez,A,1.2566370614359172,0.6283185307179586,0.6283185307179586,2.0000000000000002e-11,2.0000000000000002e-11,1356,692,2048,0.662109375,0.337890625
ibm_fez,B,1.2566370614359172,0.6283185307179804,0.628318530717959,2.0000000000000693e-11,2.0000000000000012e-11,1358,690,2048,0.6630859375,0.3369140625
ibm_fez,C,1.2566370614359172,0.5908912356660699,0.4441342711237837,1.8808652197186618e-11,1.4137232929173241e-11,1678,370,2048,0.8193359375,0.1806640625
ibm_fez,D,1.2566370614359172,0.9661029734786843,0.6002976187932622,3.075201275298218e-11,1.9108066671448386e-11,1433,615,2048,0.69970703125,0.30029296875
ibm_fez,E,1.2566370614359172,0.590456053201974,0.44386032571657996,1.879479990912506e-11,1.4128512976034484e-11,1650,398,2048,0.8056640625,0.1943359375
ibm_fez,F,1.2566370614359172,1.0818226928203023,0.5653270887126474,3.443548582226724e-11,1.799492012647365e-11,1469,579,2048,0.71728515625,0.28271484375
ibm_fez,A,1.413716694115407,0.7068583470577035,0.7068583470577035,2.25e-11,2.25e-11,1168,880,2048,0.5703125,0.4296875
ibm_fez,B,1.413716694115407,0.7068583470577974,0.7068583470577042,2.2500000000002992e-11,2.2500000000000026e-11,1209,839,2048,0.59033203125,0.40966796875
ibm_fez,C,1.413716694115407,0.6551605084119987,0.4996017292558079,2.0854406686473773e-11,1.5902816957664123e-11,1578,470,2048,0.7705078125,0.2294921875
ibm_fez,D,1.413716694115407,1.1171090402061277,0.6668100073739119,3.5558685144289613e-11,2.1225221755340256e-11,1264,784,2048,0.6171875,0.3828125
ibm_fez,E,1.413716694115407,0.6545184955192764,0.4992057740855618,2.083397078139268e-11,1.589021331314663e-11,1570,478,2048,0.7666015625,0.2333984375
ibm_fez,F,1.413716694115407,1.213682542916381,0.6386334443913156,3.863271520989669e-11,2.032833389973619e-11,1340,708,2048,0.654296875,0.345703125
ibm_fez,A,1.5707963267948966,0.7853981633974483,0.7853981633974483,2.5e-11,2.5e-11,1041,1007,2048,0.50830078125,0.49169921875
ibm_fez,B,1.5707963267948966,0.785398163397433,0.7853981633974484,2.4999999999999513e-11,2.5000000000000004e-11,1004,1044,2048,0.490234375,0.509765625
ibm_fez,C,1.5707963267948966,0.7169382854239521,0.5550497025115095,2.2820854403410024e-11,1.7667780763278548e-11,1498,550,2048,0.7314453125,0.2685546875
ibm_fez,D,1.5707963267948966,1.2694700190314485,0.7302465652879917,4.04084857271635e-11,2.3244470108292473e-11,1164,884,2048,0.568359375,0.431640625
ibm_fez,E,1.5707963267948966,0.7160265459932598,0.55449705913191,2.279183283596873e-11,1.7650189578152494e-11,1488,560,2048,0.7265625,0.2734375
ibm_fez,F,1.5707963267948966,1.3405901047541464,0.7120954202500138,4.267230836634084e-11,2.266670121717805e-11,1186,862,2048,0.5791015625,0.4208984375
ibm_fez,A,1.7278759594743862,0.8639379797371931,0.8639379797371931,2.7500000000000002e-11,2.7500000000000002e-11,878,1170,2048,0.4287109375,0.5712890625
ibm_fez,B,1.7278759594743862,0.8639379797372237,0.8639379797371936,2.7500000000000978e-11,2.7500000000000015e-11,882,1166,2048,0.4306640625,0.5693359375
ibm_fez,C,1.7278759594743862,0.7764451841977179,0.6104746420449293,2.47150178209928e-11,1.9432011382741182e-11,1343,705,2048,0.65576171875,0.34423828125
ibm_fez,D,1.7278759594743862,1.4217036480431395,0.7902418831399254,4.525423263956918e-11,2.5154180387993407e-11,1053,995,2048,0.51416015625,0.48583984375
ibm_fez,E,1.7278759594743862,0.7751924381362414,0.6097243227801182,2.467514167536822e-11,1.940812797876283e-11,1399,649,2048,0.68310546875,0.31689453125
ibm_fez,F,1.7278759594743862,1.4617996996200886,0.7855645940159623,4.6530529600956985e-11,2.500529765112367e-11,1054,994,2048,0.5146484375,0.4853515625
ibm_fez,A,1.8849555921538759,0.9424777960769379,0.9424777960769379,3e-11,3e-11,806,1242,2048,0.3935546875,0.6064453125
ibm_fez,B,1.8849555921538759,0.9424777960769832,0.9424777960769383,3.000000000000144e-11,3.000000000000001e-11,768,1280,2048,0.375,0.625
ibm_fez,C,1.8849555921538759,0.8340450031993776,0.6658723517687258,2.6548477004055322e-11,2.1195375250443617e-11,1274,774,2048,0.6220703125,0.3779296875
ibm_fez,D,1.8849555921538759,1.5725336548992381,0.8464338281974119,5.005530087111569e-11,2.6942825551562842e-11,954,1094,2048,0.4658203125,0.5341796875
ibm_fez,E,1.8849555921538759,0.8323747222582574,0.6648759227291441,2.6495310310429028e-11,2.1163657929025667e-11,1260,788,2048,0.615234375,0.384765625
ibm_fez,F,1.8849555921538759,1.5772914226841888,0.8588717512950017,5.0206745323327345e-11,2.73387369401185e-11,875,1173,2048,0.42724609375,0.57275390625
ibm_fez,A,2.0420352248333655,1.0210176124166828,1.0210176124166828,3.2500000000000004e-11,3.2500000000000004e-11,568,1480,2048,0.27734375,0.72265625
ibm_fez,B,2.0420352248333655,1.0210176124167025,1.0210176124166828,3.250000000000063e-11,3.2500000000000004e-11,573,1475,2048,0.27978515625,0.72021484375
ibm_fez,C,2.0420352248333655,0.8902359940630894,0.721237772070098,2.8337091794693576e-11,2.2957711313908368e-11,1139,909,2048,0.55615234375,0.44384765625
ibm_fez,D,2.0420352248333655,1.720921176943337,0.8984696683316905,5.477862239641087e-11,2.8599177786624858e-11,806,1242,2048,0.3935546875,0.6064453125
ibm_fez,E,2.0420352248333655,0.888071608508129,0.7199378453309456,2.826819726272785e-11,2.291633336066968e-11,1142,906,2048,0.5576171875,0.4423828125
ibm_fez,F,2.0420352248333655,1.6888377501102365,0.9318139983400737,5.3757375202047854e-11,2.966056077560918e-11,739,1309,2048,0.36083984375,0.63916015625
ibm_fez,A,2.199114857512855,1.0995574287564276,1.0995574287564276,3.5e-11,3.5e-11,438,1610,2048,0.2138671875,0.7861328125
ibm_fez,B,2.199114857512855,1.0995574287563874,1.0995574287564274,3.499999999999872e-11,3.4999999999999995e-11,442,1606,2048,0.2158203125,0.7841796875
ibm_fez,C,2.199114857512855,0.9456252369032878,0.7765646750291924,3.010018615312057e-11,2.471882133228946e-11,1037,1011,2048,0.50634765625,0.49365234375
ibm_fez,D,2.199114857512855,1.8660796300604914,0.9460138844518348,5.939915946544452e-11,3.0112557188814925e-11,714,1334,2048,0.3486328125,0.6513671875
ibm_fez,E,2.199114857512855,0.9428966279355351,0.7748928834946994,3.0013331832124024e-11,2.4665606554982715e-11,1057,991,2048,0.51611328125,0.48388671875
ibm_fez,F,2.199114857512855,1.8010537547120262,1.004132975580757,5.7329321567327393e-11,3.196254531705019e-11,608,1440,2048,0.296875,0.703125
ibm_fez,A,2.356194490192345,1.1780972450961724,1.1780972450961724,3.75e-11,3.75e-11,335,1713,2048,0.16357421875,0.83642578125
ibm_fez,B,2.356194490192345,1.178097245096183,1.1780972450961726,3.750000000000034e-11,3.7500000000000006e-11,326,1722,2048,0.1591796875,0.8408203125
ibm_fez,C,2.356194490192345,1.0008853054733224,0.8318452250378134,3.185916876682418e-11,2.6478455890431616e-11,962,1086,2048,0.4697265625,0.5302734375
ibm_fez,D,2.356194490192345,2.007476953119981,0.988757628345322,6.389997604642041e-11,3.147313281419543e-11,621,1427,2048,0.30322265625,0.69677734375
ibm_fez,E,2.356194490192345,0.9975346148359003,0.8297194606159676,3.175251297128069e-11,2.6410790707314483e-11,964,1084,2048,0.470703125,0.529296875
ibm_fez,F,2.356194490192345,1.916018461931747,1.0754758930733725,6.098876185435361e-11,3.4233460911759586e-11,477,1571,2048,0.23291015625,0.76708984375
ibm_fez,A,2.5132741228718345,1.2566370614359172,1.2566370614359172,4.0000000000000004e-11,4.0000000000000004e-11,232,1816,2048,0.11328125,0.88671875
ibm_fez,B,2.5132741228718345,1.2566370614358757,1.2566370614359172,3.999999999999868e-11,4.0000000000000004e-11,234,1814,2048,0.1142578125,0.8857421875
ibm_fez,C,2.5132741228718345,1.0566983929710656,0.8870693293283206,3.363575451972144e-11,2.8236293725562928e-11,806,1242,2048,0.3935546875,0.6064453125
ibm_fez,D,2.5132741228718345,2.144830567432382,1.026429618407024,6.827207738029168e-11,3.2672269501081154e-11,617,1431,2048,0.30126953125,0.69873046875
ibm_fez,E,2.5132741228718345,1.0526828788634988,0.8843899084886817,3.350793673586654e-11,2.8151005111312535e-11,843,1205,2048,0.41162109375,0.58837890625
ibm_fez,F,2.5132741228718345,2.030430524365466,1.1453216104395132,6.463061091148659e-11,3.6456719146283733e-11,398,1650,2048,0.1943359375,0.8056640625
ibm_fez,A,2.670353755551324,1.335176877775662,1.335176877775662,4.25e-11,4.25e-11,147,1901,2048,0.07177734375,0.92822265625
ibm_fez,B,2.670353755551324,1.33517687777563,1.3351768777756616,4.249999999999898e-11,4.249999999999999e-11,149,1899,2048,0.07275390625,0.92724609375
ibm_fez,C,2.670353755551324,1.113698493375043,0.9422236506896056,3.545012406692691e-11,2.999191030106841e-11,722,1326,2048,0.3525390625,0.6474609375
ibm_fez,D,2.670353755551324,2.2781023495904216,1.0588080734608634,7.251424996131532e-11,3.3702907735380614e-11,545,1503,2048,0.26611328125,0.73388671875
ibm_fez,E,2.670353755551324,1.1089895525436697,0.9388678800867246,3.5300233824918845e-11,2.9885092805202214e-11,724,1324,2048,0.353515625,0.646484375
ibm_fez,F,2.670353755551324,2.141851113822954,1.212831555673257,6.817723842636098e-11,3.860562744464642e-11,288,1760,2048,0.140625,0.859375
ibm_fez,A,2.827433388230814,1.413716694115407,1.413716694115407,4.5e-11,4.5e-11,102,1946,2048,0.0498046875,0.9501953125
ibm_fez,B,2.827433388230814,1.4137166941154398,1.4137166941154071,4.5000000000001047e-11,4.5000000000000006e-11,77,1971,2048,0.03759765625,0.96240234375
ibm_fez,C,2.827433388230814,1.1724231769327798,0.9972900580908869,3.731938880087114e-11,3.174472848831362e-11,601,1447,2048,0.29345703125,0.70654296875
ibm_fez,D,2.827433388230814,2.4075042426067172,1.0857330916545094,7.663324014511374e-11,3.4559957683052206e-11,463,1585,2048,0.22607421875,0.77392578125
ibm_fez,E,2.827433388230814,1.1670028210493955,0.9931043494369179,3.7146853514439574e-11,3.1611493243789285e-11,624,1424,2048,0.3046875,0.6953125
ibm_fez,F,2.827433388230814,2.2496805530265584,1.2765316252192707,7.160955607837711e-11,4.063326363335554e-11,206,1842,2048,0.1005859375,0.8994140625
ibm_fez,A,2.9845130209103035,1.4922565104551517,1.4922565104551517,4.7500000000000004e-11,4.7500000000000004e-11,65,1983,2048,0.03173828125,0.96826171875
ibm_fez,B,2.9845130209103035,1.4922565104551335,1.4922565104551513,4.749999999999942e-11,4.7499999999999985e-11,53,1995,2048,0.02587890625,0.97412109375
ibm_fez,C,2.9845130209103035,1.2332821806595053,1.052243104214603,3.925659105582243e-11,3.349393827402289e-11,509,1539,2048,0.24853515625,0.75146484375
ibm_fez,D,2.9845130209103035,2.5335281467154824,1.107118725679841,8.064470560244354e-11,3.5240683556309354e-11,461,1587,2048,0.22509765625,0.77490234375
ibm_fez,E,2.9845130209103035,1.227139215007966,1.0470312235705885,3.9061054386085194e-11,3.332803896056291e-11,550,1498,2048,0.2685546875,0.7314453125
ibm_fez,F,2.9845130209103035,2.3544674983870917,1.333617254983456,7.494502814350296e-11,4.2450355664652325e-11,138,1910,2048,0.0673828125,0.9326171875
ibm_fez,A,3.141592653589793,1.5707963267948966,1.5707963267948966,5e-11,5e-11,45,2003,2048,0.02197265625,0.97802734375
ibm_fez,B,3.141592653589793,1.5707963267948684,1.5707963267948966,4.9999999999999104e-11,5e-11,58,1990,2048,0.0283203125,0.9716796875
ibm_fez,C,3.141592653589793,1.2965437324532592,1.107045738481716,4.127026879095041e-11,3.523836030163656e-11,433,1615,2048,0.21142578125,0.78857421875
ibm_fez,D,3.141592653589793,2.6570073697627867,1.1229639298659642,8.457517134586857e-11,3.5745052070413736e-11,453,1595,2048,0.22119140625,0.77880859375
ibm_fez,E,3.141592653589793,1.2896711166528858,1.1005507593965158,4.1051506635630236e-11,3.503161869629894e-11,413,1635,2048,0.20166015625,0.79833984375
ibm_fez,F,3.141592653589793,2.457756861663901,1.3786015151936486,7.823283069036669e-11,4.388224913940917e-11,113,1935,2048,0.05517578125,0.94482421875
